
65816 mnemonics listed in opcode order.

if you notice any errors or something is missing, please
send me email to vhelin@cc.hut.fi.


x = 8bit
? = 16bit
& = 24bit



$0000 "BRK"
$00 "BRK x"
$01 "ORA (x,X)"
$0200 "COP"
$02 "COP x"
$03 "ORA x,S"
$04 "TSB x"
$05 "ORA x"
$06 "ASL x"
$07 "ORA [x]"
$08 "PHP"
$09 "ORA #x"
$0a "ASL"
$0a "ASL A"
$0b "PHD"
$0c "TSB ?"
$0d "ORA ?"
$0e "ASL ?"
$0f "ORA &"
$10 "BPL x"
$11 "ORA (x),Y"
$12 "ORA (x)"
$13 "ORA (x,S),Y"
$14 "TRB x"
$15 "ORA x,X"
$16 "ASL x,X"
$17 "ORA [x],Y"
$18 "CLC"
$19 "ORA ?,Y"
$1a "INA"
$1a "INC A"
$1b "TAS"
$1b "TCS"
$1c "TRB ?"
$1d "ORA ?,X"
$1e "ASL ?,X"
$1f "ORA &,X"
$20 "JSR ?"
$21 "AND (x,X)"
$22 "JSL &"
$22 "JSR &"
$23 "AND x,S"
$24 "BIT x"
$25 "AND x"
$26 "ROL x"
$27 "AND [x]"
$28 "PLP"
$29 "AND #x"
$2a "ROL"
$2a "ROL A"
$2b "PLD"
$2c "BIT ?"
$2d "AND ?"
$2e "ROL ?"
$2f "AND &"
$30 "BMI x"
$31 "AND (x),Y"
$32 "AND (x)"
$33 "AND (x,S),Y"
$34 "BIT x,X"
$35 "AND x,X"
$36 "ROL x,X"
$37 "AND [x],Y"
$38 "SEC"
$39 "AND ?,Y"
$3a "DEA"
$3a "DEC A"
$3b "TSA"
$3b "TSC"
$3c "BIT ?,X"
$3d "AND ?,X"
$3e "ROL ?,X"
$3f "AND &,X"
$40 "RTI"
$41 "EOR (x,X)"
$42 "WDM"
$43 "EOR x,S"
$44 "MVP x,x"
$45 "EOR x"
$46 "LSR x"
$47 "EOR [x]"
$48 "PHA"
$49 "EOR #x"
$4a "LSR"
$4a "LSR A"
$4b "PHK"
$4c "JMP ?"
$4d "EOR ?"
$4e "LSR ?"
$4f "EOR &"
$50 "BVC x"
$51 "EOR (x),Y"
$52 "EOR (x)"
$53 "EOR (x,S),Y"
$54 "MVN x,x"
$55 "EOR x,X"
$56 "LSR x,X"
$57 "EOR [x],Y"
$58 "CLI"
$59 "EOR ?,Y"
$5a "PHY"
$5b "TAD"
$5b "TCD"
$5c "JML &"
$5c "JMP &"
$5d "EOR ?,X"
