
gb-z80 mnemonics listed in alphabetical order.

if you notice any errors or something is missing, please
send me email to vhelin@cc.hut.fi. note that $ed ("DEBUG")
is not a real gb-z80 opcode. it's there for debugging
purposes.


x = 8bit
? = 16bit
s = 8bit 2's complement ([-128, +127])



"ADC A" $8f
"ADC B" $88
"ADC C" $89
"ADC D" $8a
"ADC E" $8b
"ADC H" $8c
"ADC (HL)" $8e
"ADC L" $8d
"ADC x" $ce
"ADD A" $87
"ADD B" $80
"ADD C" $81
"ADD D" $82
"ADD E" $83
"ADD H" $84
"ADD (HL)" $86
"ADD HL,BC" $09
"ADD HL,DE" $19
"ADD HL,HL" $29
"ADD HL,SP" $39
"ADD L" $85
"ADD SP,s" $e8
"ADD x" $c6
"AND A" $a7
"AND B" $a0
"AND C" $a1
"AND D" $a2
"AND E" $a3
"AND H" $a4
"AND (HL)" $a6
"AND L" $a5
"AND x" $e6
"BIT 0,A" $cb47
"BIT 0,B" $cb40
"BIT 0,C" $cb41
"BIT 0,D" $cb42
"BIT 0,E" $cb43
"BIT 0,H" $cb44
"BIT 0,(HL)" $cb46
"BIT 0,L" $cb45
"BIT 1,A" $cb4f
"BIT 1,B" $cb48
"BIT 1,C" $cb49
"BIT 1,D" $cb4a
"BIT 1,E" $cb4b
"BIT 1,H" $cb4c
"BIT 1,(HL)" $cb4e
"BIT 1,L" $cb4d
"BIT 2,A" $cb57
"BIT 2,B" $cb50
"BIT 2,C" $cb51
"BIT 2,D" $cb52
"BIT 2,E" $cb53
"BIT 2,H" $cb54
"BIT 2,(HL)" $cb56
"BIT 2,L" $cb55
"BIT 3,A" $cb5f
"BIT 3,B" $cb58
"BIT 3,C" $cb59
"BIT 3,D" $cb5a
"BIT 3,E" $cb5b
"BIT 3,H" $cb5c
"BIT 3,(HL)" $cb5e
"BIT 3,L" $cb5d
"BIT 4,A" $cb67
"BIT 4,B" $cb60
"BIT 4,C" $cb61
"BIT 4,D" $cb62
"BIT 4,E" $cb63
"BIT 4,H" $cb64
"BIT 4,(HL)" $cb66
"BIT 4,L" $cb65
"BIT 5,A" $cb6f
"BIT 5,B" $cb68
"BIT 5,C" $cb69
"BIT 5,D" $cb6a
"BIT 5,E" $cb6b
"BIT 5,H" $cb6c
"BIT 5,(HL)" $cb6e
"BIT 5,L" $cb6d
"BIT 6,A" $cb77
"BIT 6,B" $cb70
"BIT 6,C" $cb71
"BIT 6,D" $cb72
"BIT 6,E" $cb73
"BIT 6,H" $cb74
"BIT 6,(HL)" $cb76
"BIT 6,L" $cb75
"BIT 7,A" $cb7f
"BIT 7,B" $cb78
"BIT 7,C" $cb79
"BIT 7,D" $cb7a
"BIT 7,E" $cb7b
"BIT 7,H" $cb7c
"BIT 7,(HL)" $cb7e
"BIT 7,L" $cb7d
"CALL ?" $cd
"CALL C,?" $dc
"CALL NC,?" $d4
"CALL NZ,?" $c4
"CALL Z,?" $cc
"CCF" $3f
"CP A" $bf
"CP B" $b8
"CP C" $b9
"CP D" $ba
"CP E" $bb
"CP H" $bc
"CP (HL)" $be
"CPL" $2f
"CP L" $bd
"CP x" $fe
"DAA" $27
"DEBUG" $ed
"DEC A" $3d
"DEC B" $05
"DEC BC" $0b
"DEC C" $0d
"DEC D" $15
"DEC DE" $1b
"DEC E" $1d
"DEC H" $25
"DEC HL" $2b
"DEC (HL)" $35
"DEC L" $2d
"DEC SP" $3b
"DI" $f3
"EI" $fb
"HALT" $76
"INC A" $3c
